0,9
1,84
2,2
3,53
4,28
5,474
6,153
7,13
8,129
9,98
10,111
11,225
12,31
13,171
14,191
15,486
16,335
17,415
18,36
19,323
20,405
21,422
22,375
23,380
24,345
25,57
26,481
27,436
28,104
29,299
30,162
31,154
32,402
33,95
34,73
35,108
36,156
37,332
38,182
39,82
40,351
41,278
42,214
43,155
44,223
45,473
46,49
47,317
48,11
49,319
50,40
51,418
52,165
53,370
54,382
55,3
56,50
57,363
58,219
59,465
60,237
61,23
62,342
63,204
64,258
65,315
66,27
67,93
68,17
69,303
70,488
71,283
72,395
73,309
74,419
75,123
76,19
77,117
78,232
79,72
80,189
81,318
82,369
83,493
84,239
85,148
86,105
87,336
88,6
89,200
90,81
91,65
92,434
93,164
94,313
95,378
96,495
97,424
98,398
99,5
100,254
101,296
102,75
103,167
104,21
105,259
106,499
107,347
108,150
109,78
110,340
111,441
112,267
113,361
114,221
115,466
116,134
117,39
118,197
119,355
120,430
121,80
122,246
123,444
124,85
125,215
126,263
127,74
128,403
129,458
130,16
131,25
132,127
133,454
134,70
135,44
136,59
137,103
138,112
139,429
140,88
141,179
142,358
143,470
144,205
145,294
146,397
147,137
148,295
149,35
150,438
151,247
152,209
153,61
154,107
155,285
156,175
157,99
158,455
159,24
160,275
161,421
162,48
163,426
164,489
165,136
166,30
167,274
168,10
169,178
170,1
171,280
172,447
173,185
174,228
175,135
176,69
177,492
178,199
179,352
180,8
181,276
182,230
183,334
184,96
185,38
186,368
187,261
188,404
189,168
190,29
191,437
192,423
193,54
194,284
195,485
196,68
197,32
198,349
199,41
200,63
201,416
202,55
203,130
204,116
205,76
206,462
207,330
208,37
209,256
210,390
211,216
212,174
213,180
214,476
215,312
216,265
217,115
218,71
219,218
220,202
221,440
222,385
223,373
224,210
225,89
226,149
227,26
228,7
229,435
230,482
231,177
232,157
233,412
234,22
235,194
236,14
237,151
238,233
239,206
240,245
241,122
242,94
243,461
244,226
245,97
246,91
247,51
248,33
249,453
250,67
251,46
252,322
253,66
254,399
255,487
256,138
257,62
258,211
259,52
260,269
261,119
262,100
263,442
264,310
265,143
266,301
267,113
268,298
269,478
270,272
271,354
272,0
273,249
274,192
275,86
276,172
277,357
278,331
279,300
280,450
281,477
282,163
283,308
284,196
285,47
286,133
287,359
288,64
289,42
290,409
291,406
292,238
293,483
294,193
295,311
296,140
297,388
298,56
299,236
300,372
301,110
302,248
303,60
304,181
305,203
306,326
307,90
308,169
309,292
310,479
311,142
312,4
313,124
314,324
315,121
316,131
317,166
318,468
319,365
320,213
321,87
322,353
323,101
324,333
325,114
326,459
327,45
328,338
329,18
330,222
331,343
332,20
333,224
334,12
335,79
336,387
337,251
338,120
339,471
340,77
341,376
342,327
343,432
344,384
345,321
346,212
347,407
348,266
349,145
350,201
351,456
352,260
353,305
354,329
355,420
356,392
357,417
358,190
359,158
360,443
361,83
362,374
363,457
364,125
365,328
366,159
367,147
368,195
369,377
370,367
371,394
372,494
373,304
374,446
375,43
376,262
377,128
378,102
379,449
380,184
381,469
382,452
383,234
384,362
385,356
386,144
387,291
388,484
389,188
390,414
391,92
392,241
393,306
394,350
395,425
396,281
397,207
398,126
399,302
400,146
401,451
402,498
403,339
404,250
405,344
406,346
407,348
408,496
409,106
410,118
411,270
412,433
413,307
414,173
415,252
416,314
417,410
418,490
419,277
420,391
421,264
422,325
423,289
424,160
425,341
426,132
427,337
428,428
429,445
430,497
431,187
432,183
433,271
434,396
435,293
436,400
437,360
438,297
439,371
440,491
441,389
442,386
443,288
444,379
445,268
446,472
447,273
448,287
449,448
450,176
451,411
452,408
453,242
454,364
455,58
456,467
457,170
458,15
459,240
460,316
461,229
462,217
463,109
464,227
465,290
466,460
467,393
468,282
469,34
470,220
471,208
472,243
473,139
474,320
475,383
476,244
477,286
478,480
479,431
480,279
481,198
482,381
483,463
484,366
485,255
486,439
487,401
488,475
489,257
490,152
491,235
492,464
493,253
494,231
495,427
496,141
497,186
498,161
499,413
